N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,7.1944,0.8348,7.1503,0.9642,6.9964,0.8342,6.8907,0.8943
2,6.3679,0.4948,6.7518,0.6165,6.5069,0.5557,6.5771,0.5107
3,5.6233,0.3535,6.3326,0.6303,5.6871,0.3126,5.8941,0.4679
4,5.64,0.264,5.929,0.4472,5.7447,0.2349,5.8566,0.3579
5,5.5386,0.2916,5.6979,0.4811,5.558,0.2407,5.7337,0.2814
6,5.587,0.2935,5.6551,0.4178,5.5966,0.3306,5.6798,0.4138
7,5.6082,0.3309,5.6263,0.4494,5.6146,0.3882,5.7274,0.459
8,5.6202,0.3469,5.6077,0.5104,5.5709,0.3347,5.777,0.3876
9,5.631,0.4132,5.5886,0.5138,5.562,0.3765,5.6584,0.389
10,5.6346,0.4174,5.6679,0.4539,5.572,0.3504,5.6394,0.4118
11,5.6407,0.3964,5.5847,0.5048,5.5596,0.4073,5.687,0.3931
12,5.6486,0.4157,5.5843,0.4903,5.5565,0.3664,5.6811,0.4106
13,5.649,0.4182,5.64,0.452,5.5858,0.3568,5.6811,0.4106
14,5.6699,0.4004,5.6449,0.5084,5.61,0.3808,5.6752,0.3796
15,5.6558,0.4054,5.6763,0.4752,5.5946,0.396,5.6752,0.3796
